disaggregation,category,group,total_routes,available_rides,unavailable_rides,pct_unavailable,p_value,significant
aggregate,all,Control,120,120,0,0.000000,3.943463e-09,TRUE
aggregate,all,Roma,120,88,32,0.266667,3.943463e-09,TRUE
destination,city_center,Control,,,,,1.168068e-03,TRUE
destination,city_center,Roma,,,,,1.168068e-03,TRUE
destination,city_center,Control,0.000000,,,,1.168068e-03,TRUE
destination,city_center,Roma,0.275000,,,,1.168068e-03,TRUE
destination,nearest_commercial_center,Control,0.000000,,,,1.168068e-03,TRUE
destination,nearest_commercial_center,Roma,0.275000,,,,1.168068e-03,TRUE
destination,nearest_hospital,Control,0.000000,,,,2.345787e-03,TRUE
destination,nearest_hospital,Roma,0.250000,,,,2.345787e-03,TRUE
time_of_day,08:00-09:00,Control,0.000000,,,,0.031424,TRUE
time_of_day,08:00-09:00,Roma,0.200000,,,,0.031424,TRUE
time_of_day,11:00-12:00,Control,0.000000,,,,0.003823,TRUE
time_of_day,11:00-12:00,Roma,0.300000,,,,0.003823,TRUE
time_of_day,14:00-15:00,Control,0.000000,,,,0.003823,TRUE
time_of_day,14:00-15:00,Roma,0.300000,,,,0.003823,TRUE
time_of_day,18:00-19:00,Control,0.000000,,,,0.007850,TRUE
time_of_day,18:00-19:00,Roma,0.266667,,,,0.007850,TRUE
